tconst	startYear	primaryTitle	averageRating	numVotes
tt0111161	1994	The Shawshank Redemption	9.3	3059971
tt0468569	2008	The Dark Knight	9.0	3034510
tt1375666	2010	Inception	8.8	2696878
tt0137523	1999	Fight Club	8.8	2478752
tt0109830	1994	Forrest Gump	8.8	2390570
tt0816692	2014	Interstellar	8.7	2360844
tt0110912	1994	Pulp Fiction	8.8	2345492
tt0133093	1999	The Matrix	8.7	2164393
tt0068646	1972	The Godfather	9.2	2135955
tt0120737	2001	The Lord of the Rings: The Fellowship of the Ring	8.9	2117948
tt0167260	2003	The Lord of the Rings: The Return of the King	9.0	2087249
tt0114369	1995	Se7en	8.6	1921275
tt1345836	2012	The Dark Knight Rises	8.4	1920559
tt0167261	2002	The Lord of the Rings: The Two Towers	8.8	1881737
tt1853728	2012	Django Unchained	8.5	1799897
tt0172495	2000	Gladiator	8.5	1768678
tt0993846	2013	The Wolf of Wall Street	8.2	1696211
tt0361748	2009	Inglourious Basterds	8.4	1692506
tt0372784	2005	Batman Begins	8.2	1652780
tt0102926	1991	The Silence of the Lambs	8.6	1644098
tt7286456	2019	Joker	8.3	1617337
tt0120815	1998	Saving Private Ryan	8.6	1576685
tt1130884	2010	Shutter Island	8.2	1558016
tt0108052	1993	Schindler's List	9.0	1530922
tt0482571	2006	The Prestige	8.5	1521824
tt0076759	1977	Star Wars: Episode IV - A New Hope	8.6	1517305
tt0848228	2012	The Avengers	8.0	1513394
tt0407887	2006	The Departed	8.5	1494187
tt0120689	1999	The Green Mile	8.6	1493107
tt0080684	1980	Star Wars: Episode V - The Empire Strikes Back	8.7	1450205
tt0071562	1974	The Godfather Part II	9.0	1437122
tt0499549	2009	Avatar	7.9	1434774
tt0088763	1985	Back to the Future	8.5	1384498
tt0209144	2000	Memento	8.4	1384428
tt4154796	2019	Avengers: Endgame	8.4	1366150
tt0120338	1997	Titanic	7.9	1344129
tt0099685	1990	Goodfellas	8.7	1333031
tt2015381	2014	Guardians of the Galaxy	8.0	1321454
tt0110413	1994	Léon: The Professional	8.5	1307627
tt4154756	2018	Avengers: Infinity War	8.4	1295230
tt0120382	1998	The Truman Show	8.2	1291266
tt0325980	2003	Pirates of the Caribbean: The Curse of the Black Pearl	8.1	1272161
tt0910970	2008	WALL·E	8.4	1266921
tt0266697	2003	Kill Bill: Vol. 1	8.2	1255474
tt0169547	1999	American Beauty	8.3	1252412
tt0103064	1991	Terminator 2: Judgment Day	8.6	1238089
tt0120586	1998	American History X	8.5	1235349
tt0434409	2005	V for Vendetta	8.1	1218219
tt1431045	2016	Deadpool	8.0	1211238
tt0110357	1994	The Lion King	8.5	1208924
tt0114814	1995	The Usual Suspects	8.5	1194213
tt1049413	2009	Up	8.3	1187347
tt0371746	2008	Iron Man	7.9	1178741
tt0081505	1980	The Shining	8.4	1172158
